Петровско-Разумовский проезд,1
Планетная,1
платовская,1
Погодинская,1
Подушкинское шоссе,1
Поклонная,1
Пролетарский пр-т,1
проспект Революции,1
Ракетный б-р,1
Россолимо,1
Рублево-Успенское шоссе,1
Садовая,1
Сайкина,1
Светлогорский проезд,1
село петрово-дальнее,1
Серпуховский вал,1
Снежная,1
соловьиный проезд,1
Спиридоновка,1
Станиславского,1
Старая Басманная,1
Староволынская улица,1
Стасовой,1
Столетова,1
суворовская,1
Таганрогская,1
Тарусская,1
Теплый Стан,1
тихая,1
Товарищевский переулок,1
Трофимова,1
ул. 1812-го года,1
Улофа Пальме,1
Университетский проезд,1
Успенское шоссе,1
Ферганская,1
Фрунзенская набережная,1
Ходынский б-р,1
Центральная,1
Циолковского,1
Шипиловская,1
ШМИТОВСКИЙ ПРОЕЗД,1
Щетининский переулок,1
Щукинская,1
Электролитный проезд,1
Южнобутовская,1
Юлиуса Фучика,1
Село Ильинское,3
Село Переделки,3
Рабочий поселок,2
дер. Жуковка,2
СНТ Дары природы,1
дер. Фоминское,1
Село Немчиновка,1
Одинцово,1
Подольск,1
